 -0.118,-0.057,0.990,128.28,10.39,-5.96
 -0.146,0.046,0.979,92.88,10.87,-1.54
 -0.156,0.114,0.995,76.36,15.23,3.17
 -0.172,0.168,0.964,70.61,17.76,7.80
 -0.172,0.192,0.931,48.17,14.44,1.20
 -0.176,0.213,0.938,12.28,8.34,0.92
 -0.176,0.209,0.940,-13.79,3.94,-3.49
 -0.169,0.159,0.875,-74.69,0.64,-6.06
 -0.185,0.035,1.007,-166.29,-16.88,-11.82
 -0.200,-0.096,1.004,-154.05,-21.30,-5.83
 -0.144,-0.232,0.957,-127.38,-12.26,2.12
 -0.149,-0.314,0.957,-108.11,-18.44,1.58
 -0.128,-0.378,0.966,-76.99,-16.77,4.24
 -0.114,-0.399,0.918,-16.12,-3.60,-0.15
 -0.119,-0.375,0.925,12.15,-5.23,-4.69
 -0.146,-0.322,1.024,65.56,7.50,-3.24
 -0.116,-0.271,0.933,110.50,6.39,-1.92
 -0.152,-0.131,0.970,92.98,6.28,1.13
 -0.134,-0.080,0.985,36.73,9.00,2.66
 -0.142,-0.079,0.964,22.25,4.92,-3.36
 -0.151,-0.069,0.983,10.95,2.61,-3.55
 -0.150,-0.068,0.982,-0.11,0.13,-4.84
 -0.154,-0.076,0.976,-7.62,0.80,-3.29
 -0.157,-0.071,0.996,-9.05,0.52,1.84
 -0.146,-0.082,0.986,-6.81,1.14,-4.83
 -0.155,-0.089,0.987,-7.53,-1.28,-2.35
 -0.154,-0.100,0.982,-6.12,-2.59,-2.44
 -0.142,-0.091,0.997,-2.09,-0.91,1.05
 -0.148,-0.095,0.993,0.01,-1.08,2.22
 -0.138,-0.099,0.988,2.04,-0.57,0.50
 -0.140,-0.098,0.986,-0.63,1.08,-1.83
 -0.142,-0.097,0.984,0.44,-0.35,1.53
 -0.137,-0.102,0.987,0.94,0.29,0.34
 -0.137,-0.103,0.983,2.69,-1.81,2.62
 -0.135,-0.097,0.993,0.44,-4.89,0.83
 -0.125,-0.103,0.983,1.13,-4.44,4.53
 -0.125,-0.099,0.985,-2.42,-6.52,3.55
 -0.122,-0.096,0.993,3.11,-14.79,5.94
 -0.072,-0.094,0.982,0.82,-62.29,2.56
 -0.009,-0.100,1.007,-1.21,-79.71,0.38
 0.080,-0.105,0.983,0.07,-63.14,-0.04
 0.104,-0.115,0.981,1.53,-41.48,2.90
 0.066,-0.083,0.991,-5.12,40.95,8.55
 -0.026,-0.098,1.011,1.93,137.20,12.48
 -0.174,-0.128,0.939,-7.89,162.54,0.82
 -0.298,-0.068,0.951,-8.23,118.77,-18.11
 -0.383,-0.116,0.931,-4.24,87.20,-19.53
 -0.414,-0.104,0.936,2.04,24.12,5.03
 -0.385,-0.114,0.916,3.88,-4.11,10.73
 -0.363,-0.104,0.933,4.24,-46.92,14.77
 -0.203,-0.103,0.941,4.56,-144.40,16.00
 -0.122,-0.107,0.994,0.60,-140.33,2.96
 -0.024,-0.086,0.994,-2.26,-122.36,3.85
 0.091,-0.107,0.971,6.23,-116.14,14.96
 0.166,-0.116,0.967,2.99,-61.18,4.28
 0.170,-0.083,0.990,0.30,-38.06,1.32
 0.199,-0.104,0.961,1.03,-13.85,-0.07
 0.195,-0.108,0.963,1.84,14.83,-1.08
 0.069,-0.102,0.978,11.96,108.65,11.49
 -0.065,0.011,0.989,23.06,266.32,18.93
 -0.261,-0.058,0.988,9.94,182.15,-1.25
 -0.433,-0.054,0.891,4.95,115.81,-10.98
 -0.458,-0.047,0.916,5.12,51.47,-10.54
 -0.455,-0.036,0.904,5.67,-5.11,-0.34
 -0.417,-0.054,0.906,0.14,-48.39,3.38
 -0.273,-0.047,0.972,-10.24,-160.29,-1.07
 -0.058,-0.106,0.983,-23.86,-237.09,13.25
 0.042,-0.103,0.967,-15.64,-134.02,2.17
 0.086,-0.083,1.011,-12.48,-94.09,3.05
 0.204,-0.145,0.928,-2.25,-69.82,0.60
